728,519,46,555,258,717,512,1.1681101322174072,"[(600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (600, 360), (601, 360), (601, 363), (597, 371), (601, 377), (616, 377), (639, 380), (665, 387), (686, 397), (693, 404), (704, 416), (730, 437), (776, 467), (839, 500), (887, 530), (920, 556), (936, 575), (946, 593), (950, 606), (950, 610), (938, 615), (866, 615), (787, 600), (723, 575), (682, 553), (669, 541), (667, 535), (667, 528), (667, 521), (668, 515), (668, 513), (668, 511), (669, 510), (670, 509), (675, 506), (678, 505), (684, 504), (692, 503), (699, 503), (701, 504), (702, 504), (704, 506), (707, 508), (708, 509), (708, 510), (708, 510), (708, 510), (709, 511), (710, 511), (712, 512), (715, 512), (716, 512), (716, 512)]"
1032,89,38,717,512,1035,90,0.8893675804138184,"[(717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 512), (717, 511), (718, 508), (719, 504), (730, 483), (762, 455), (796, 416), (832, 373), (873, 322), (925, 267), (968, 220), (989, 176), (998, 136), (1005, 98), (1020, 57), (1035, 28), (1047, 10), (1054, 0), (1054, 0), (1054, 0), (1054, 0), (1054, 0), (1054, 0), (1054, 0), (1054, 0), (1054, 0), (1053, 5), (1052, 14), (1052, 28), (1051, 40), (1050, 52), (1048, 63), (1047, 67), (1046, 72), (1042, 78), (1039, 84), (1036, 87), (1035, 89), (1035, 90), (1035, 90), (1035, 90), (1035, 90), (1035, 90), (1035, 90)]"
526,132,19,1035,90,529,134,1.1679811477661133,"[(1035, 90), (1035, 90), (1035, 90), (1035, 90), (1035, 90), (1035, 90), (1035, 90), (1035, 90), (1033, 93), (1029, 101), (1024, 113), (1018, 128), (1007, 148), (983, 179), (938, 217), (871, 256), (778, 285), (645, 292), (622, 288), (610, 271), (617, 252), (620, 231), (616, 210), (604, 192), (588, 179), (570, 171), (555, 168), (549, 166), (549, 166), (549, 166), (549, 166), (554, 165), (554, 164), (554, 163), (554, 161), (551, 160), (548, 158), (547, 157), (546, 153), (543, 148), (539, 143), (538, 140), (538, 138), (538, 138), (538, 138), (538, 137), (537, 137), (537, 137), (537, 137), (537, 136), (536, 136), (536, 136), (536, 136), (536, 136), (536, 136), (536, 136), (536, 136), (536, 136), (534, 136), (532, 135), (532, 135), (531, 135), (531, 135), (531, 135), (531, 135), (531, 135), (530, 135), (530, 134), (529, 134), (529, 134), (529, 134)]"
267,377,100,529,134,224,403,0.5657858848571777,"[(529, 134), (529, 134), (529, 134), (529, 134), (529, 134), (529, 134), (529, 134), (529, 134), (529, 134), (531, 137), (534, 141), (538, 145), (543, 152), (549, 163), (556, 177), (558, 196), (556, 221), (542, 251), (521, 277), (478, 308), (447, 325), (415, 339), (381, 352), (343, 363), (306, 375), (267, 386), (244, 394), (232, 399), (225, 404), (224, 406), (224, 406), (224, 406), (224, 404), (224, 404), (224, 403)]"
363,29,15,224,403,365,27,1.138211965560913,"[(224, 403), (224, 403), (224, 403), (224, 403), (224, 403), (224, 403), (224, 403), (225, 400), (239, 389), (269, 370), (295, 355), (326, 339), (355, 322), (392, 301), (435, 271), (492, 232), (543, 188), (567, 155), (563, 126), (548, 109), (533, 100), (523, 92), (509, 80), (488, 68), (459, 53), (434, 41), (424, 35), (422, 32), (422, 31), (420, 29), (420, 28), (419, 28), (417, 28), (413, 28), (410, 29), (408, 29), (408, 29), (407, 29), (396, 29), (373, 30), (351, 31), (350, 31), (350, 31), (350, 31), (350, 31), (350, 31), (350, 31), (350, 31), (356, 30), (362, 30), (367, 28), (369, 27), (369, 27), (369, 27), (369, 27), (369, 27), (369, 27), (369, 27), (369, 27), (369, 27), (369, 27), (368, 27), (367, 27), (367, 27), (366, 27), (366, 27), (366, 27), (365, 27), (365, 27)]"
519,315,80,365,27,509,295,0.6475958824157715,"[(365, 27), (365, 27), (365, 27), (365, 27), (365, 27), (365, 27), (365, 27), (368, 36), (374, 48), (391, 75), (407, 92), (417, 106), (425, 119), (433, 134), (441, 151), (455, 172), (467, 192), (481, 209), (489, 216), (491, 218), (491, 221), (491, 225), (491, 227), (490, 232), (490, 238), (493, 255), (496, 266), (499, 277), (501, 286), (503, 289), (503, 290), (504, 290), (504, 291), (505, 291), (506, 292), (508, 293), (508, 294), (508, 294), (509, 294), (509, 294)]"
643,525,94,509,295,657,528,0.5676083564758301,"[(509, 295), (509, 295), (509, 295), (509, 295), (509, 295), (509, 295), (509, 295), (509, 295), (509, 295), (510, 295), (513, 295), (514, 296), (514, 296), (514, 296), (515, 295), (518, 296), (534, 302), (561, 312), (588, 326), (613, 355), (620, 377), (623, 400), (624, 419), (625, 435), (627, 455), (633, 479), (642, 502), (650, 516), (653, 520), (655, 523), (656, 524), (656, 527), (657, 528), (657, 528), (657, 528)]"
964,539,89,657,528,992,551,0.5890095233917236,"[(657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (657, 528), (668, 531), (697, 536), (749, 540), (772, 541), (796, 541), (824, 541), (857, 541), (871, 541), (876, 541), (886, 543), (905, 546), (922, 549), (934, 552), (957, 553), (980, 553), (991, 551), (992, 551), (992, 551), (992, 551), (992, 551), (992, 551), (992, 551), (992, 551)]"
484,614,39,992,551,487,610,0.8439061641693115,"[(992, 551), (992, 551), (992, 551), (992, 551), (992, 551), (992, 551), (992, 551), (992, 551), (991, 551), (986, 550), (980, 550), (968, 546), (935, 532), (883, 505), (799, 473), (712, 456), (663, 454), (658, 456), (658, 467), (657, 486), (653, 511), (643, 535), (622, 554), (605, 557), (588, 557), (572, 557), (557, 561), (544, 568), (531, 575), (523, 581), (517, 586), (516, 589), (515, 589), (515, 589), (515, 589), (515, 590), (515, 590), (515, 591), (514, 592), (511, 597), (509, 599), (507, 600), (505, 601), (501, 603), (494, 606), (489, 609), (487, 610), (487, 610), (487, 610), (487, 610), (487, 610)]"
95,322,61,487,610,74,318,0.984900712966919,"[(487, 610), (487, 610), (487, 610), (487, 610), (487, 610), (487, 610), (488, 609), (496, 601), (507, 590), (519, 578), (536, 565), (573, 542), (615, 520), (658, 503), (685, 489), (702, 479), (712, 472), (717, 466), (719, 459), (711, 451), (688, 436), (643, 410), (575, 386), (479, 368), (385, 359), (316, 351), (272, 346), (233, 345), (178, 344), (112, 341), (62, 340), (26, 339), (26, 339), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (0, 330), (20, 321), (35, 321), (36, 321), (36, 321), (37, 321), (48, 321), (64, 321), (73, 319), (73, 319), (73, 319), (73, 319), (73, 319), (73, 318), (73, 318), (74, 318)]"
